Tensao_Fonte_V,Corrente_Filamento_A,Resistencia_Ohms,Temperatura_K,Fotocorrente_A
4.5,1.01655,4.426737494466578,1860.6646744066697,1.3653e-07
4.7,1.03412,4.544927087765443,1900.1656396337657,1.6622e-07
4.9,1.05463,4.6461792287342485,1933.7758667777553,1.9252e-07
5.1000000000000005,1.07591,4.74017343458096,1964.7905611432057,2.225e-07
5.300000000000001,1.0972,4.830477579292746,1994.421643922111,2.5658e-07
5.500000000000001,1.1184,4.917739628040057,2022.9024775016887,2.8483e-07
5.700000000000001,1.13933,5.002940324576726,2050.5685634254673,3.084e-07
5.900000000000001,1.16004,5.086031516154617,2077.416586806768,3.4174e-07
6.100000000000001,1.18051,5.16725821890539,2103.5369920982357,3.6786e-07
6.300000000000002,1.20056,5.247551142800027,2129.2372019412833,3.9872e-07
6.500000000000002,1.22062,5.325162622273927,2153.967360471905,4.2594e-07
6.700000000000002,1.24055,5.4008302768933145,2177.9737521196607,4.5741e-07
6.900000000000002,1.26027,5.475017258206576,2201.411602382507,4.8583e-07
7.100000000000002,1.27965,5.548392138475366,2224.4978736751264,5.1269e-07
7.3000000000000025,1.29872,5.620919058765555,2247.225615856618,4.9156e-07
7.500000000000003,1.31752,5.692513206630641,2269.572672289554,5.5109e-07
7.700000000000003,1.33606,5.763214226905979,2291.5557816073897,5.9268e-07
7.900000000000003,1.35446,5.832582726695512,2313.043248671987,5.6659e-07
8.100000000000003,1.37272,5.900693513608021,2334.0636307265563,6.325e-07
8.300000000000004,1.39089,5.96740216695785,2354.577657903422,6.3855e-07
8.500000000000004,1.40877,6.0336321755857965,2374.8731775307137,6.738e-07
